"";"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"threat.status.mma";"life.form";"habitat";"vegetation.type";"vernacular.name";"occurrence";"establishment";"domain";"endemism"
"443";25691;"Utricularia tridentata Sylvén";NA;"Lentibulariaceae";"species";"accepted";"Utricularia tridentata";"VU";"VU";"Erva";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
"444";8612;"Cliococca selaginoides (Lam.) C.M. Rogers & Mildner";NA;"Linaceae";"species";"accepted";"Cliococca selaginoides";"LC";NA;"Erva|Subarbusto";"Terricola";"Area Antropica|Campo Limpo|Campo rupestre";"Vassourinha-veludo/PORTUGUES/Sul | Linho-silvestre/PORTUGUES/Sul";"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
"445";8617;"Linum littorale A. St.-Hil.";NA;"Linaceae";"species";"accepted";"Linum littorale";"LC";NA;"Erva|Subarbusto";"Terricola";"Cerrado (lato sensu)|Floresta Ombrofila (= Floresta Pluvial)|Restinga";"Linho-bravo/PORTUGUES/Sul";"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Nao endemica"
"462";9150;"Pavonia kleinii Krapov. & Cristóbal";NA;"Malvaceae";"species";"accepted";"Pavonia kleinii";"DD";NA;"Subarbusto";"Terricola";"Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"236";15091;"Valeriana glechomifolia F.G.Mey.";NA;"Caprifoliaceae";"species";"accepted";"Valeriana glechomifolia";"EN";"EN";"Erva";"Terricola";"Campo de Altitude";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"237";15094;"Valeriana reitziana Borsini";NA;"Caprifoliaceae";"species";"accepted";"Valeriana reitziana";"VU";"VU";"Erva";"Terricola";"Campo de Altitude|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"238";15095;"Valeriana salicariifolia Vahl";NA;"Caprifoliaceae";"species";"accepted";"Valeriana salicariifolia";NA;NA;"Erva";"Aquatica|Terricola";"Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Vegetacao Aquatica";NA;"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Endemica"
"257";103459;"Apodanthera laciniosa (Schltdl.) Cogn.";NA;"Cucurbitaceae";"species";"accepted";"Apodanthera laciniosa";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Floresta Ombrofila Mista";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"258";114601;"Cayaponia palmata Cogn.";NA;"Cucurbitaceae";"species";"accepted";"Cayaponia palmata";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Nao endemica"
"259";82111;"Cayaponia pilosa (Vell.) Cogn.";NA;"Cucurbitaceae";"species";"accepted";"Cayaponia pilosa";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Floresta Ombrofila (= Floresta Pluvial)";"Purga-de-Caiapo/PORTUGUES/MG, RJ | Tajuja/PORTUGUES/SC | Purga-de-Gentio/PORTUGUES/MG, RJ | Aboboreia-do-Mato/PORTUGUES/MG, RJ | Guaiapo/PORTUGUES/MG, RJ | Purga-de-Caboclo/PORTUGUES/MG, RJ | Engobeira-do-Mato/PORTUGUES/NA | Taiuia/PORTUGUES/SC | Taijuja/PORTUGUES/SC";"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Nao endemica"
