"";"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"threat.status.mma";"life.form";"habitat";"vegetation.type";"vernacular.name";"occurrence";"establishment";"domain";"endemism"
"98";104567;"Chaptalia excapa (Pers.) Baker";NA;"Asteraceae";"species";"accepted";"Chaptalia excapa";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo";"Lingua-de-vaca/PORTUGUES/Sul";"BR-RS|BR-SC";"native";"Pampa";"Nao endemica"
"287";50087;"Cyperus unioloides R.Br.";NA;"Cyperaceae";"species";"accepted";"Cyperus unioloides";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Vegetacao Aquatica";NA;"BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP|BR-TO";"native";"Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"311";7460;"Agarista niederleinii (Sleumer) Judd";NA;"Ericaceae";"species";"accepted";"Agarista niederleinii";"LC";NA;"Arbusto|Arvore";"Terricola";"Campo de Altitude";NA;"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"322";116455;"Agarista niederleinii (Sleumer) Judd var. niederleinii";NA;"Ericaceae";"variety";"accepted";"Agarista niederleinii var. niederleinii";NA;NA;"Arbusto|Arvore";"Terricola";"Campo de Altitude";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"312";7471;"Gaultheria bradeana Sleumer";NA;"Ericaceae";"species";"accepted";"Gaultheria bradeana";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude";NA;"BR-MG|BR-RJ|BR-SC";"native";"Mata Atlantica";"Endemica"
"313";115567;"Gaultheria erecta Vent.";NA;"Ericaceae";"species";"accepted";"Gaultheria erecta";NA;NA;"Arbusto|Subarbusto";"Terricola";"Campo de Altitude|Campo rupestre|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-AM|BR-MG|BR-RR|BR-SC";"native";"Amazonia|Cerrado|Mata Atlantica";"Nao endemica"
"314";115556;"Gaultheria itatiaiae Wawra";NA;"Ericaceae";"species";"accepted";"Gaultheria itatiaiae";NA;NA;"Arbusto|Subarbusto";"Terricola";"Campo de Altitude";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"188";116379;"Senecio subarnicoides Cabrera";NA;"Asteraceae";"species";"accepted";"Senecio subarnicoides";NA;NA;"Erva";"Terricola";"Campo de Altitude";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Nao endemica"
"218";112461;"Amphilophium crucigerum (L.) L.G.Lohmann";NA;"Bignoniaceae";"species";"accepted";"Amphilophium crucigerum";NA;NA;"Liana/voluvel/trepadeira";"Terricola";"Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Perenifolia|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";"pente-de-macaco/PORTUGUES/Brasil";"BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO";"native";"Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"294";17207;"Fimbristylis complanata (Retz.) Link";NA;"Cyperaceae";"species";"accepted";"Fimbristylis complanata";NA;NA;"Erva";"Terricola";"Area Antropica|Campinarana|Campo de Varzea|Campo Limpo|Campo rupestre|Palmeiral|Restinga|Savana Amazonica|Vegetacao Aquatica|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-AL|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO";"native";"Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"78";5212;"Baccharis microdonta DC.";NA;"Asteraceae";"species";"accepted";"Baccharis microdonta";NA;NA;"Arbusto";"Rupicola|Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga|Vegetacao Sobre Afloramentos Rochosos";"alecrim-de-vassoura/PORTUGUES/NA | trapichava/PORTUGUES/NA | vassoura-alecrim/PORTUGUES/NA | vassoura-branca/PORTUGUES/NA";"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"156";5465;"Noticastrum calvatum (Baker) Cuatrec.";NA;"Asteraceae";"species";"accepted";"Noticastrum calvatum";NA;NA;"Subarbusto";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"157";5466;"Noticastrum decumbens (Baker) Cuatrec.";NA;"Asteraceae";"species";"accepted";"Noticastrum decumbens";NA;NA;"Erva";"Rupicola|Terricola";"Campo de Altitude|Campo Limpo|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"249";6707;"Paronychia camphorosmoides Cambess.";NA;"Caryophyllaceae";"species";"accepted";"Paronychia camphorosmoides";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos";"erva-de-panaricio/PORTUGUES/SP";"BR-BA|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"263";7124;"Lamanonia ternata Vell.";NA;"Cunoniaceae";"species";"accepted";"Lamanonia ternata";NA;NA;"Arbusto|Arvore";"Terricola";"Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Nao endemica"
"264";7127;"Weinmannia humilis Engl.";NA;"Cunoniaceae";"species";"accepted";"Weinmannia humilis";NA;NA;"Arbusto|Arvore";"Terricola";"Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)";"gramimunha-miuda/PORTUGUES/sul";"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"265";7154;"Bulbostylis capillaris (L.) C.B.Clarke";NA;"Cyperaceae";"species";"accepted";"Bulbostylis capillaris";NA;NA;"Erva";"Terricola";"Area Antropica|Cerrado (lato sensu)|Floresta Ombrofila (= Floresta Pluvial)|Restinga|Savana Amazonica|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO";"native";"Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"291";110086;"Eleocharis radicans (Poir.) Kunth";NA;"Cyperaceae";"species";"accepted";"Eleocharis radicans";NA;NA;"Erva";"Aquatica|Terricola";"Campo de Altitude";NA;"BR-PR|BR-RS|BR-SC";"native";"Amazonia|Cerrado|Mata Atlantica";"Nao endemica"
"334";35809;"Croton dusenii Croizat";NA;"Euphorbiaceae";"species";"accepted";"Croton dusenii";NA;NA;"Arbusto|Subarbusto";"Terricola";"Campo de Varzea";NA;"BR-SC";"native";"Mata Atlantica";"Endemica"
"333";17511;"Croton erythroxyloides Baill.";NA;"Euphorbiaceae";"species";"accepted";"Croton erythroxyloides";NA;NA;"Arbusto";"Terricola";"Campo rupestre|Cerrado (lato sensu)|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-MG|BR-RJ|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Endemica"
"337";25489;"Croton myrianthus Müll.Arg.";NA;"Euphorbiaceae";"species";"accepted";"Croton myrianthus";NA;NA;"Arbusto|Subarbusto";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"361";100940;"Mimosa axillaris Benth.";NA;"Fabaceae";"species";"accepted";"Mimosa axillaris";NA;NA;"Subarbusto";"Terricola";"Campo Limpo|Cerrado (lato sensu)";NA;"BR-RS|BR-SP";"native";"Cerrado|Pampa";"Endemica"
"351";83239;"Inga lentiscifolia Benth.";NA;"Fabaceae";"species";"accepted";"Inga lentiscifolia";"NT";NA;"Arbusto|Arvore";"Terricola";"Campo Limpo|Floresta Ombrofila Mista";NA;"BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Endemica"
"352";101088;"Lathyrus acutifolius Vogel";NA;"Fabaceae";"species";"accepted";"Lathyrus acutifolius";"CR";"CR";"Erva";"Terricola";"Campo Limpo";NA;"BR-RS";"native";"Pampa";"Nao endemica"
"353";101089;"Lathyrus crassipes Gillies ex Hook. & Arn.";NA;"Fabaceae";"species";"accepted";"Lathyrus crassipes";NA;NA;"Erva|Liana/voluvel/trepadeira";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
"363";100957;"Mimosa incana Benth.";NA;"Fabaceae";"species";"accepted";"Mimosa incana";NA;NA;"Arbusto";"Terricola";"Campo de Altitude|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"364";31279;"Mimosa pilulifera Benth.";NA;"Fabaceae";"species";"accepted";"Mimosa pilulifera";NA;NA;"Arvore";"Terricola";"Campo de Altitude|Campo Limpo|Floresta Ciliar ou Galeria";"juquiri/PORTUGUES/Santa Catarina";"BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"365";31280;"Mimosa pilulifera var. pseudincana (Burkart) Barneby";NA;"Fabaceae";"variety";"accepted";"Mimosa pilulifera var. pseudincana";NA;NA;"Arbusto";"Terricola";"Campo de Altitude|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga";"juquiri/PORTUGUES/SC";"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";NA
"366";100973;"Mimosa ramentacea Burkart";NA;"Fabaceae";"species";"accepted";"Mimosa ramentacea";NA;NA;"Arbusto|Subarbusto";"Terricola";"Campo de Altitude";"juquiri/PORTUGUES/Santa Catarina";"BR-SC";"native";"Mata Atlantica";"Endemica"
"367";100974;"Mimosa ramosissima Benth.";NA;"Fabaceae";"species";"accepted";"Mimosa ramosissima";NA;NA;"Subarbusto";"Terricola";"Area Antropica|Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";"juquiri/PORTUGUES/Santa Catarina";"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"368";100978;"Mimosa scabrella Benth.";NA;"Fabaceae";"species";"accepted";"Mimosa scabrella";NA;NA;"Arvore";"Terricola";"Area Antropica|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";"bracaatinga/PORTUGUES/NA";"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica";"Endemica"
"370";100983;"Mimosa taimbensis Burkart";NA;"Fabaceae";"species";"accepted";"Mimosa taimbensis";NA;NA;"Arbusto";"Terricola";"Campo de Altitude";"bracaatinga-mirim/PORTUGUES/SC";"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"12";4365;"Hippeastrum psittacinum Herb.";NA;"Amaryllidaceae";"species";"accepted";"Hippeastrum psittacinum";"EN";"EN";"Erva";"Rupicola|Terricola";"Floresta Estacional Semidecidual|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-MG|BR-PR|BR-SP";"native";"Mata Atlantica";"Endemica"
"13";135357;"Nothoscordum bivalve (L.) Britton";NA;"Amaryllidaceae";"species";"accepted";"Nothoscordum bivalve";NA;NA;"Erva";"Terricola";NA;NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
"14";4375;"Zephyranthes flavissima Ravenna";NA;"Amaryllidaceae";"species";"accepted";"Zephyranthes flavissima";NA;NA;"Erva";"Rupicola|Terricola";"Campo de Altitude|Floresta Ciliar ou Galeria|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";NA
"15";115540;"Schinus engleri F.A.Barkley";NA;"Anacardiaceae";"species";"accepted";"Schinus engleri";"NT";NA;"Arbusto|Arvore";"Terricola";"Floresta Estacional Semidecidual|Floresta Ombrofila Mista";NA;"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"16";4397;"Schinus lentiscifolia Marchand";NA;"Anacardiaceae";"species";"accepted";"Schinus lentiscifolia";NA;NA;"Arbusto|Arvore";"Terricola";"Area Antropica|Campo Limpo|Cerrado (lato sensu)|Floresta Estacional Semidecidual";"aroeira-do-campo/PORTUGUES/Rio Grande do Sul | caroba/PORTUGUES/Rio Grande do Sul";"BR-PR|BR-RS|BR-SC";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"17";26377;"Schinus longifolia (Lindl.) Speg.";NA;"Anacardiaceae";"species";"accepted";"Schinus longifolia";NA;NA;"Arbusto|Arvore";"Terricola";"Campo Limpo|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-MS|BR-PR|BR-RS|BR-SC";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"25";602273;"Eryngium junceum subsp. setigerum Cham.";NA;"Apiaceae";"subspecies";NA;"Eryngium junceum subsp. setigerum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";26425;"Eryngium pandanifolium Cham. & Schltdl.";NA;"Apiaceae";"species";"accepted";"Eryngium pandanifolium";NA;NA;"Erva";"Rupicola|Terricola";"Campo de Altitude|Campo Limpo|Cerrado (lato sensu)";NA;"BR-DF|BR-GO|BR-MG|BR-MS|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"28";26431;"Eryngium sanguisorba Cham. & Schltdl.";NA;"Apiaceae";"species";"accepted";"Eryngium sanguisorba";"LC";NA;"Erva";"Rupicola|Terricola";"Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Restinga|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-GO|BR-MG|BR-MS|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"29";103055;"Eryngium smithii Mathias & Constance";NA;"Apiaceae";"species";"accepted";"Eryngium smithii";"EN";"EN";"Erva";"Rupicola|Terricola";"Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"30";26434;"Eryngium subinerme (H.Wolff) Mathias & Constance";NA;"Apiaceae";"species";"accepted";"Eryngium subinerme";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo|Cerrado (lato sensu)";NA;"BR-GO|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Endemica"
"27";103077;"Eryngium urbanianum H.Wolff";NA;"Apiaceae";"species";"accepted";"Eryngium urbanianum";"EN";"EN";"Erva";"Terricola";"Campo de Altitude";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"76";5209;"Baccharis megapotamica Spreng.";NA;"Asteraceae";"species";"accepted";"Baccharis megapotamica";"LC";NA;"Subarbusto";"Terricola";"Campo de Altitude|Campo Limpo|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga";NA;"BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"79";5213;"Baccharis milleflora (Less.) DC.";NA;"Asteraceae";"species";"accepted";"Baccharis milleflora";NA;NA;"Arbusto";"Rupicola|Terricola";"Campo de Altitude|Campo Limpo|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga";"carqueja/PORTUGUES/NA";"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Endemica"
"80";104350;"Baccharis montana DC.";NA;"Asteraceae";"species";"accepted";"Baccharis montana";NA;NA;"Arbusto|Arvore";"Rupicola|Terricola";"Area Antropica|Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga|Vegetacao Sobre Afloramentos Rochosos";"alecrim/PORTUGUES/NA | alecrim-do-mato/PORTUGUES/NA";"BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";NA
"81";5216;"Baccharis myriocephala DC.";NA;"Asteraceae";"species";"accepted";"Baccharis myriocephala";NA;NA;"Subarbusto";"Epifita|Rupicola|Terricola";"Area Antropica|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga|Vegetacao Sobre Afloramentos Rochosos";"carqueja/PORTUGUES/NA";"BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Caatinga|Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"88";5245;"Baccharis sagittalis (Less.) DC.";NA;"Asteraceae";"species";"accepted";"Baccharis sagittalis";"LC";NA;"Arbusto|Subarbusto";"Rupicola|Terricola";"Campo de Altitude|Campo rupestre|Floresta Ciliar ou Galeria|Floresta Ombrofila Mista|Restinga";"carqueja/PORTUGUES/NA";"BR-BA|BR-ES|BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Caatinga|Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"89";122019;"Baccharis sphagnophila A.A.Schneid. & G.Heiden";NA;"Asteraceae";"species";"accepted";"Baccharis sphagnophila";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"104";5283;"Conyza macrophylla Spreng.";NA;"Asteraceae";"species";"accepted";"Conyza macrophylla";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude|Campo Limpo|Floresta Ombrofila Mista";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
"105";5285;"Conyza primulifolia (Lam.) Cuatrec. & Lourteig";NA;"Asteraceae";"species";"accepted";"Conyza primulifolia";NA;NA;"Subarbusto";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Floresta Ombrofila Mista|Restinga|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"106";5286;"Conyza reitziana Cabrera";NA;"Asteraceae";"species";"accepted";"Conyza reitziana";NA;NA;"Subarbusto";"Rupicola|Terricola";"Campo de Altitude|Floresta Ombrofila Mista";NA;"BR-PR|BR-SC";"native";"Mata Atlantica";"Endemica"
"107";5287;"Conyza retirensis Cabrera";NA;"Asteraceae";"species";"accepted";"Conyza retirensis";NA;NA;"Subarbusto";"Rupicola|Terricola";"Campo de Altitude|Campo Limpo|Floresta Ombrofila Mista|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-SC";"native";"Mata Atlantica";"Endemica"
"108";5288;"Conyza sumatrensis (Retz.) E.Walker";NA;"Asteraceae";"species";"accepted";"Conyza sumatrensis";NA;NA;"Subarbusto";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ombrofila (= Floresta Pluvial)|Restinga";NA;"BR-AC|BR-AL|BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SP";"native";"Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"110";5292;"Dasyphyllum brasiliense (Spreng.) Cabrera";NA;"Asteraceae";"species";"accepted";"Dasyphyllum brasiliense";NA;NA;"Arbusto|Arvore";"Terricola";"Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"112";102342;"Dendrophorbium catharinense (Dusén ex Cabrera) C.Jeffrey";NA;"Asteraceae";"species";"accepted";"Dendrophorbium catharinense";"VU";"VU";"Erva";"Terricola";"Floresta Ombrofila Mista";NA;"BR-SC";"native";"Mata Atlantica";"Endemica"
"113";115868;"Dendrophorbium paranense (Malme) Matzenb. & Baptista";NA;"Asteraceae";"species";"accepted";"Dendrophorbium paranense";"EN";"EN";"Erva|Subarbusto";"Terricola";"Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"114";16114;"Erechtites valerianifolius (Link ex Spreng.) DC.";NA;"Asteraceae";"species";"accepted";"Erechtites valerianifolius";NA;NA;"Erva";"Terricola";"Area Antropica|Caatinga (stricto sensu)|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga";NA;"BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO";"native";"Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"124";105308;"Facelis retusa (Lam.) Sch.Bip.";NA;"Asteraceae";"species";"accepted";"Facelis retusa";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude|Restinga";NA;"BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"125";106771;"Gamochaeta americana (Mill.) Wedd.";NA;"Asteraceae";"species";"accepted";"Gamochaeta americana";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Restinga|Vegetacao Sobre Afloramentos Rochosos";NA;"BR-AL|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"127";106796;"Gamochaeta purpurea (L.) Cabrera";NA;"Asteraceae";"species";"accepted";"Gamochaeta purpurea";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre";NA;"BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"128";106800;"Gamochaeta simplicicaulis (Willd. ex Spreng.) Cabrera";NA;"Asteraceae";"species";"accepted";"Gamochaeta simplicicaulis";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude|Cerrado (lato sensu)";NA;"BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa";"Nao endemica"
"132";102383;"Graphistylis serrana (Zardini) B.Nord.";NA;"Asteraceae";"species";"accepted";"Graphistylis serrana";NA;NA;"Erva";"Terricola";"Campo de Altitude";NA;"BR-PR";"native";"Mata Atlantica";"Endemica"
"133";102384;"Graphistylis toledoi (Cabrera) B.Nord.";NA;"Asteraceae";"species";"accepted";"Graphistylis toledoi";NA;NA;"Erva";"Terricola";"Campo de Altitude|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-SP";"native";"Mata Atlantica";"Endemica"
"142";112208;"Hypochaeris megapotamica Cabrera";NA;"Asteraceae";"species";"accepted";"Hypochaeris megapotamica";NA;NA;"Erva";"Terricola";"Campo Limpo";NA;"BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
"144";112214;"Hypochaeris variegata (Lam.) Baker";NA;"Asteraceae";"species";"accepted";"Hypochaeris variegata";NA;NA;"Erva";"Terricola";"Campo Limpo|Floresta Ombrofila (= Floresta Pluvial)";NA;"BR-RS";"native";"Mata Atlantica|Pampa";"Nao endemica"
"164";123601;"Perezia squarrosa (Vahl.) Less.";NA;"Asteraceae";"species";"accepted";"Perezia squarrosa";NA;NA;"Erva";NA;"Campo de Altitude|Campo Limpo";"margaridinha-do-campo/PORTUGUES/sudeste";NA;NA;NA;NA
"162";123607;"Perezia squarrosa subsp. cubaetensis (Less.) Vuilleumemier";NA;"Asteraceae";"subspecies";"accepted";"Perezia squarrosa subsp. cubaetensis";NA;NA;"Erva";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-MG|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"165";106907;"Pseudognaphalium gaudichaudianum (DC.) Anderb.";NA;"Asteraceae";"species";"accepted";"Pseudognaphalium gaudichaudianum";NA;NA;"Erva";"Terricola";"Area Antropica|Restinga";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
"168";78158;"Senecio caparaoensis Cabrera";NA;"Asteraceae";"species";"accepted";"Senecio caparaoensis";"EN";"EN";"Erva";"Terricola";"Campo de Altitude";NA;"BR-MG|BR-SC";"native";"Mata Atlantica";"Endemica"
"171";115723;"Senecio conyzifolius Baker";NA;"Asteraceae";"species";"accepted";"Senecio conyzifolius";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude";NA;"BR-RS|BR-SC";"native";"Mata Atlantica";"Endemica"
"176";115797;"Senecio icoglossus DC.";NA;"Asteraceae";"species";"accepted";"Senecio icoglossus";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
